회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입,대졸↑,인턴직,~ 01/06(월),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 경영분석 외                    수정일 24/11/13",인기있는,2024-12-08 20:13:59.416872
(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441156&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입·경력,대졸↑,정규직,~ 12/20(금),"데이터분석가, 데이터분석, 빅데이터, Python, 기획 외                    등록일 24/11/20",인기있는,2024-12-08 20:13:59.455776
(주)부동산플래닛,[데이터분석가] Data Analyst 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49302374&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력무관,석사↑,정규직,~ 12/29(일),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/11/27",Seed 투자유치,2024-12-08 20:13:59.457458
(주)디리아,데이터분석 및 데이터엔지니어 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534324&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 서초구,경력무관,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터시각화, 빅데이터, 솔루션 외                    등록일 24/12/05",인기있는,2024-12-08 20:13:59.459159
한국폴리텍대학 광명융합기술교육원,데이터분석/바이오/설계/AR/VR/전기 취업연계 교육생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49188717&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기전체,경력무관,초대졸↑,교육생,~ 12/31(화),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, OracleDB 외                    수정일 24/11/01",교육 지원 TOP100,2024-12-08 20:13:59.460678
휴먼링크,[울산시 중구 / 공기업 / 데이터분석 보조(사무직)] 채용 안내,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532832&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,울산 중구,경력무관,초대졸↑,파견직,채용시,"자료입력, 사무보조, 문서작성, 사무직, 서류관리 외                    등록일 24/12/05",인기있는,2024-12-08 20:13:59.462333
쿠팡(주),[쿠팡] Business Analyst (비즈니스 데이터 분석) 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 송파구,경력 5~18년,대졸↑,정규직,~ 12/20(금),"통계/분석, 데이터분석가, 빅데이터, Python, 마케팅 외                    등록일 24/11/20",재택근무,2024-12-08 20:13:59.463991
(주)테크랩스,마케팅 데이터 분석 (브랜드엑셀러레이팅사업부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410863&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력 2~10년,대졸↑,정규직,~ 12/14(토),"통계/분석, 데이터분석가, Python, 마케팅, 마케팅기획 외                    수정일 24/11/15",취업축하금,2024-12-08 20:13:59.465454
(주)숲,[SOOP] 데이터 분석 및 지표 설계,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481364&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 성남시 분당구,경력 3~10년,학력무관,정규직,오늘마감,"데이터엔지니어, 통계/분석, 데이터분석가, 데이터분석, 데이터시각화 외                    등록일 24/11/27",연봉상승률 10% 이상,2024-12-08 20:13:59.467240
(주)케이에스씨앤씨,[신입/경력] 신용평가/금융데이터분석 컨설팅 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522301&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 영등포구,신입·경력,대졸↑,정규직,~ 01/31(금),"통계/분석, 데이터분석, Python, 모델링, SAS 외                    등록일 24/12/03",기획·전략 지원 급상승,2024-12-08 20:13:59.468829
(주)이와이드플러스,[수원영통] 삼성 App서비스 데이터분석/리포팅 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525312&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 수원시 영통구,신입·경력,대졸↑,정규직,채용시,"통계/분석, 데이터분석가, 데이터분석, 실적관리, 데이터 사이언티스트 외                    수정일 24/12/04",육아휴직,2024-12-08 20:13:59.470324
(주)딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강서구,경력,학력무관,정규직,채용시,"통계/분석, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/12/03",인기있는,2024-12-08 20:13:59.471829
쿠팡(주),[쿠팡] 데이터 분석 PM (Taxonomy),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394068&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 송파구,경력3년↑,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터 사이언티스트 외                    수정일 24/11/14",재택근무,2024-12-08 20:13:59.473347
(주)마루에이치알,[현대카드/Fee Biz사업팀]상품운영관리/마케팅캠페인 데이터분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516338&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 영등포구,경력무관,대졸↑,계약직,~ 01/02(목),"데이터분석가, 데이터분석, 실적관리, 빅데이터, 마케팅 외                    수정일 24/12/05",금융·보험 스크랩 TOP100,2024-12-08 20:13:59.475350
(주)뉴엔에이아이,[재택 근무] 영어 데이터 모니터링 / 데이터 분석 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451508&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 고양시 일산서구,경력무관,초대졸↑,프리랜서,~ 01/21(화),"데이터분석가, 데이터 사이언티스트, 홍보, 시장조사, 언론홍보 외                    수정일 24/12/06",,2024-12-08 20:13:59.477013
㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/Java 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420870&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력무관,대졸↑,정규직,~ 01/17(금),"네트워크, Java, CSS, Javascript, RestAPI 외                    수정일 24/11/18",인기있는,2024-12-08 20:13:59.478764
(주)사람인에이치에스,[상장사/외국계] 소셜리스닝 데이터 분석 컨설턴트 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510241&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,경력2년↑,초대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/12/05",인기있는,2024-12-08 20:13:59.480476
콘센트릭스서비스코리아(유),데이터 분석 (태깅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49279558&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,서울 강남구,신입·경력,학력무관,정규직,~ 12/27(금),"데이터분석가, 데이터분석, 솔루션, 기획, HTML 외                    수정일 24/11/28",성과급/상여금,2024-12-08 20:13:59.481970
(주)인텔리코드,ML연구소 데이터분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404202&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=9c6852f5-7955-4e7d-87e1-dd5ac5d32010,경기 수원시 영통구,경력무관,대졸↑,정규직,~ 12/25(수),"데이터분석가, 솔루션, Python, 딥러닝, 머신러닝 외                    수정일 24/12/04",인기있는,2024-12-08 20:13:59.483813
